condition,tick,source,cell_type,transmitter_sign,target,forecast,source_spike,source_sensory_input,source_observed_current,arrival_count,signed_recurrent_current,retained_eligibility,weight_update_proposal
initial,309,26550,L1,-1.0,0.0,-0.00013256038073450327,False,0.0,17.962718963623047,0,-6.385886808857322e-05,-0.0032993785571306944,0.0
initial,310,20655,L2,1.0,0.0,-0.00013256038073450327,False,0.0,17.051105499267578,0,1.3870152542949654e-05,0.0032993785571306944,0.0
initial,310,26550,L1,-1.0,0.0,-0.00013256038073450327,False,0.0,17.051105499267578,0,-5.184933252166957e-05,-0.0032993785571306944,0.0
initial,311,20655,L2,1.0,0.0,-0.00013256038073450327,True,0.0,16.18575668334961,0,1.1261680811003316e-05,0.0032993785571306944,0.0
initial,311,26550,L1,-1.0,0.0,-0.00013256038073450327,True,0.0,16.18575668334961,0,-4.209835606161505e-05,-0.0032993785571306944,0.0
initial,312,20655,L2,1.0,0.0,-0.00013256038073450327,False,0.0,15.364325523376465,1,0.008325915783643723,0.0032993785571306944,4.373668538448783e-09
initial,312,26550,L1,-1.0,0.0,-0.00013256038073450327,False,0.0,15.364325523376465,1,-0.061240680515766144,-0.0032993785571306944,-4.373668538448783e-09
initial,328,20655,L2,1.0,-1.0,-0.03830413520336151,False,-30.0,-23.32269287109375,0,0.004072533454746008,0.7242547273635864,-0.006965127307921648
initial,328,26550,L1,-1.0,-1.0,-0.03830413520336151,False,-30.0,-23.32269287109375,0,-0.029970234259963036,-0.7242547273635864,0.006965127307921648
initial,329,20655,L2,1.0,0.0,-0.02589769847691059,False,0.0,-22.139060974121094,0,0.0033066377509385347,0.48966002464294434,0.0
initial,329,26550,L1,-1.0,0.0,-0.02589769847691059,False,0.0,-22.139060974121094,0,-0.024333922192454338,-0.48966002464294434,0.0
initial,330,20655,L2,1.0,0.0,-0.02589769847691059,False,0.0,-21.0154972076416,0,0.002684779232367873,0.48966002464294434,0.0
initial,330,26550,L1,-1.0,0.0,-0.02589769847691059,False,0.0,-21.0154972076416,0,-0.019757594913244247,-0.48966002464294434,0.0
initial,331,20655,L2,1.0,0.0,-0.02589769847691059,False,0.0,-19.948955535888672,0,0.002179869683459401,0.48966002464294434,0.0
initial,331,26550,L1,-1.0,0.0,-0.02589769847691059,False,0.0,-19.948955535888672,0,-0.016041908413171768,-0.48966002464294434,0.0
initial,332,20655,L2,1.0,0.0,-0.02589769847691059,False,0.0,-18.936540603637695,0,0.001769915339536965,0.48966002464294434,0.0
initial,332,26550,L1,-1.0,0.0,-0.02589769847691059,False,0.0,-18.936540603637695,0,-0.013025008141994476,-0.48966002464294434,0.0
initial,333,20655,L2,1.0,0.0,-0.02589769847691059,False,0.0,-17.975505828857422,0,0.0014370585558936,0.48966002464294434,0.0
initial,333,26550,L1,-1.0,0.0,-0.02589769847691059,False,0.0,-17.975505828857422,0,-0.010575477033853531,-0.48966002464294434,0.0
initial,334,20655,L2,1.0,0.0,-0.02589769847691059,False,0.0,-17.063243865966797,0,0.0011668000370264053,0.48966002464294434,0.0
initial,334,26550,L1,-1.0,0.0,-0.02589769847691059,False,0.0,-17.063243865966797,0,-0.008586613461375237,-0.48966002464294434,0.0
initial,335,20655,L2,1.0,0.0,-0.02589769847691059,False,0.0,-16.19727897644043,0,0.0009473673417232931,0.48966002464294434,0.0
initial,335,26550,L1,-1.0,0.0,-0.02589769847691059,False,0.0,-16.19727897644043,0,-0.006971783470362425,-0.48966002464294434,0.0
initial,336,20655,L2,1.0,0.0,-0.02589769847691059,False,0.0,-15.375263214111328,0,0.000769201957155019,0.48966002464294434,0.00012681067164521664
initial,336,26550,L1,-1.0,0.0,-0.02589769847691059,False,0.0,-15.375263214111328,0,-0.005660644266754389,-0.48966002464294434,-0.00012681067164521664
initial,337,20655,L2,1.0,0.0,-0.0048914416693151,False,0.0,-14.594964981079102,0,0.0006245429976843297,0.09248480945825577,0.0
initial,337,26550,L1,-1.0,0.0,-0.0048914416693151,False,0.0,-14.594964981079102,0,-0.004596082493662834,-0.09248480945825577,0.0
initial,338,20655,L2,1.0,0.0,-0.0048914416693151,False,0.0,-13.854267120361328,0,0.0005070891347713768,0.09248480945825577,0.0
initial,338,26550,L1,-1.0,0.0,-0.0048914416693151,False,0.0,-13.854267120361328,0,-0.0037317262031137943,-0.09248480945825577,0.0
initial,339,20655,L2,1.0,0.0,-0.0048914416693151,False,0.0,-13.151159286499023,0,0.0004117240896448493,0.09248480945825577,0.0
initial,339,26550,L1,-1.0,0.0,-0.0048914416693151,False,0.0,-13.151159286499023,0,-0.0030299241188913584,-0.09248480945825577,0.0
initial,340,20655,L2,1.0,0.0,-0.0048914416693151,False,0.0,-12.483734130859375,0,0.0003342937561683357,0.09248480945825577,0.0
initial,340,26550,L1,-1.0,0.0,-0.0048914416693151,False,0.0,-12.483734130859375,0,-0.0024601053446531296,-0.09248480945825577,0.0
initial,341,20655,L2,1.0,0.0,-0.0048914416693151,False,0.0,-11.850181579589844,0,0.0002714252332225442,0.09248480945825577,0.0
initial,341,26550,L1,-1.0,0.0,-0.0048914416693151,False,0.0,-11.850181579589844,0,-0.001997448969632387,-0.09248480945825577,0.0
initial,342,20655,L2,1.0,0.0,-0.0048914416693151,False,0.0,-11.24878215789795,0,0.00022038001043256372,0.09248480945825577,0.0
initial,342,26550,L1,-1.0,0.0,-0.0048914416693151,False,0.0,-11.24878215789795,0,-0.0016218014061450958,-0.09248480945825577,0.0
initial,343,20655,L2,1.0,0.0,-0.0048914416693151,False,0.0,-10.677903175354004,0,0.00017893454059958458,0.09248480945825577,0.0
initial,343,26550,L1,-1.0,0.0,-0.0048914416693151,False,0.0,-10.677903175354004,0,-0.0013167994329705834,-0.09248480945825577,0.0
initial,344,20655,L2,1.0,0.0,-0.0048914416693151,False,0.0,-10.13599681854248,0,0.00014528345491271466,0.09248480945825577,4.523840289039072e-06
initial,344,26550,L1,-1.0,0.0,-0.0048914416693151,False,0.0,-10.13599681854248,0,-0.001069157267920673,-0.09248480945825577,-4.523840289039072e-06
initial,345,20655,L2,1.0,0.0,-0.0009238736238330603,False,0.0,-9.62159252166748,0,0.00011796091712312773,0.017468120902776718,0.0
initial,345,26550,L1,-1.0,0.0,-0.0009238736238330603,False,0.0,-9.62159252166748,0,-0.0008680876344442368,-0.017468120902776718,0.0
initial,346,20655,L2,1.0,0.0,-0.0009238736238330603,False,0.0,-9.133294105529785,0,9.577675518812612e-05,0.017468120902776718,0.0
initial,346,26550,L1,-1.0,0.0,-0.0009238736238330603,False,0.0,-9.133294105529785,0,-0.0007048318511806428,-0.017468120902776718,0.0
initial,347,20655,L2,1.0,0.0,-0.0009238736238330603,False,0.0,-8.669776916503906,0,7.776462734909728e-05,0.017468120902776718,0.0
initial,347,26550,L1,-1.0,0.0,-0.0009238736238330603,False,0.0,-8.669776916503906,0,-0.000572278571780771,-0.017468120902776718,0.0
initial,348,20655,L2,1.0,0.0,-0.0009238736238330603,False,0.0,-8.229783058166504,0,6.313992344075814e-05,0.017468120902776718,0.0
initial,348,26550,L1,-1.0,0.0,-0.0009238736238330603,False,0.0,-8.229783058166504,0,-0.00046465377090498805,-0.017468120902776718,0.0
initial,349,20655,L2,1.0,0.0,-0.0009238736238330603,False,0.0,-7.812119483947754,0,5.126559699419886e-05,0.017468120902776718,0.0
initial,349,26550,L1,-1.0,0.0,-0.0009238736238330603,False,0.0,-7.812119483947754,0,-0.000377269258024171,-0.017468120902776718,0.0
initial,350,20655,L2,1.0,0.0,-0.0009238736238330603,False,0.0,-7.415652275085449,0,4.162440018262714e-05,0.017468120902776718,0.0
initial,350,26550,L1,-1.0,0.0,-0.0009238736238330603,False,0.0,-7.415652275085449,0,-0.00030631860136054456,-0.017468120902776718,0.0
initial,351,20655,L2,1.0,0.0,-0.0009238736238330603,False,0.0,-7.039306163787842,0,3.379636109457351e-05,0.017468120902776718,0.0
initial,351,26550,L1,-1.0,0.0,-0.0009238736238330603,False,0.0,-7.039306163787842,0,-0.0002487112069502473,-0.017468120902776718,0.0
initial,352,20655,L2,1.0,1.0,-0.0009238736238330603,False,30.0,23.31793975830078,0,2.744049379543867e-05,0.017468120902776718,0.0001748425856931135
initial,352,26550,L1,-1.0,1.0,-0.0009238736238330603,False,30.0,23.31793975830078,0,-0.00020193765521980822,-0.017468120902776718,-0.0001748425856931135
initial,353,20655,L2,1.0,0.0,-0.0001744971377775073,False,0.0,22.13454818725586,0,2.2279933546087705e-05,0.0032993005588650703,0.0
